months,rr,rrz,rrp
0,5,-7.378490543182622,8.00470800755e-12
0,6,-6.791134099097615,5.56277246488e-10
0,7,-6.292822669402526,1.55872204033e-08
0,8,-5.859487908418428,2.32148344992e-07
0,9,-5.475618433133389,2.17993123552e-06
0,10,-5.130646157409871,.0000144374626698
0,11,-4.817045745782591,.0000728496471813
0,12,-4.529267550903759,.0002959425534743
0,13,-4.263100587588275,.001008048538198
0,14,-4.01527304276098,.0029688506753556
0,15,-3.783191390461838,.0077415132836434
0,16,-3.564764137798121,.0182091767573445
0,17,-3.358279256643759,.0392146676296167
0,18,-3.162316799377108,.0782595927285801
0,19,-2.975685232263043,.1461673727781722
0,20,-2.797374155628971,.2575991646503794
0,21,-2.626518594683689,.4313163958259427
0,22,-2.462371620159431,.6901078746611732
0,23,-2.304283071312696,1.060337930832267
0,24,-2.151682821391224,1.571117202271033
0,25,-2.004067475167273,2.253141646291204
0,26,-1.860989697092179,3.137281583086173
0,27,-1.722049585370387,4.253026825967022
0,28,-1.586887662700483,5.626904481218872
0,29,-1.455179168951566,7.280983312516344
0,30,-1.326629428603485,9.231564802177461
0,31,-1.200970136588236,11.48813928684993
0,32,-1.077956468579939,14.05265916566603
0,33,-.9573649839522037,16.91915329601902
0,34,-.8389923615671226,20.07367979946104
0,35,-.7226551055361564,23.49459019351876
0,36,-.6081905076426097,27.15305647774387
0,37,-.4954594120937846,31.0137932789889
0,38,-.3843518302016725,35.03588487935411
0,39,-.2747975634754043,39.17358850646463
0,40,-.1667869599607613,43.37688397041681
0,41,-.0604178822708349,47.59114083405813
0,42,.0439023973380396,51.7508897827128
0,43,.1451305664014063,55.76961073630283
0,44,.2429102361066904,59.59625321178142
0,45,.3372885330748175,63.20502984682695
0,46,.4284067134710205,66.58224811130819
0,47,.5164364903594857,69.7225207349591
0,48,.601555573449581,72.6264995559323
0,49,.6839370572078645,75.29925437202779
0,50,.7637448220789071,77.74903377538803
0,51,.8411317867772077,79.98629453141588
0,52,.9162395616243885,82.02293700929908
0,53,.9891987883586119,83.87170544378422
0,54,1.060129799348112,85.54572237149482
0,55,1.129143403786934,87.05813279636277
0,56,1.196341699913749,88.4218378928344
0,57,1.261818861497407,89.64930132192336
0,58,1.325661873702633,90.75241392440493
0,59,1.387951208174862,91.74240484815624
0,60,1.448761435170493,92.62978914738983
0,61,1.508161774758721,93.42434360524298
0,62,1.5662165911832,94.13510400730482
0,63,1.622985835329467,94.77037835598084
0,64,1.678525440436038,95.33777158612823
0,65,1.732887676021862,95.84421824237789
0,66,1.786121464660551,96.29602032856394
0,67,1.838272665813842,96.69888815926531
0,68,1.889384330501929,97.05798255087834
0,69,1.939496930167097,97.37795710155397
0,70,1.988648562694947,97.66299964071329
0,71,2.036875138202546,97.91687219293865
0,72,2.084210546884792,98.14294900933764
0,73,2.130686810929502,98.34425238193263
0,74,2.176334222264889,98.52348608169065
0,75,2.221181467687181,98.68306635561616
0,76,2.265255742727483,98.82515048885324
0,77,2.308582855453067,98.9516629889407
0,78,2.351187321254972,99.06431948531454
0,79,2.39309244954958,99.1646484611976
0,80,2.434320423212991,99.25401094986526
0,81,2.474892371472804,99.33361833511997
0,82,2.514828436899023,99.40454839839255
0,83,2.554147837063793,99.46775975361108
0,84,2.592868921376438,99.52410480693381
0,85,2.631009223544908,99.57434137249071
0,86,2.668585510066238,99.61914306808217
0,87,2.705613825105543,99.65910860685044
0,88,2.742109532085867,99.69477009265627
0,89,2.778087352277588,99.72660041854037
0,90,2.81356140064683,99.75501985943531
0,91,2.848545219196463,99.78040194236547
0,92,2.883051808009917,99.80307866982449
0,93,2.917093654187859,99.8233451649177
0,94,2.950682758849279,99.84146380023292
0,95,2.983830662352449,99.85766786627123
0,96,3.016548467876646,99.87216482962864
0,97,3.048846863492609,99.88513922595831
0,98,3.080736142837822,99.89675522804036
0,99,3.112226224502888,99.90715892501912
0,100,3.143326670225185,99.91648034500793
1,5,-7.37683839190895,8.10462807976e-12
1,6,-6.775583295293012,6.19526652201e-10
1,7,-6.266505940864178,1.84619652899e-08
1,8,-5.82450903282669,2.86403700756e-07
1,9,-5.433490514009631,2.76311113989e-06
1,10,-5.082497576261611,.0000186252032797
1,11,-4.763741677070185,.0000950178795645
1,12,-4.471486042708639,.000388389651762
1,13,-4.201382391560339,.0013264502730426
1,14,-3.950055473567873,.0039066541174471
1,15,-3.714832044805804,.0101669353020028
1,16,-3.493557940786879,.0238314770893089
1,17,-3.284470981475516,.0510870096761096
1,18,-3.086110434230623,.1013967441262585
1,19,-2.897251100293958,.1882241588943795
1,20,-2.71685440109731,.3295279669863979
1,21,-2.544031459851257,.5479060730692493
1,22,-2.378014813564569,.870306332078875
1,23,-2.218136444821626,1.327276527268717
1,24,-2.063810516891712,1.951784276646808
1,25,-1.914519663250684,2.777689456181089
1,26,-1.76980400424978,3.837989830527567
1,27,-1.62925228994789,5.162981078549228
1,28,-1.49249473146103,6.77847486957468
1,29,-1.359197205181389,8.704205334195091
1,30,-1.229056610101093,10.95252909228603
1,31,-1.101797240067962,13.52749152634798
1,32,-.9771681109472157,16.42429662468656
1,33,-.8549412698885164,19.62918309242253
1,34,-.7349112285752735,23.11967797376719
1,35,-.6168958371358346,26.86517163907087
1,36,-.5007392177041208,30.82773339170983
1,37,-.3863179657800221,34.96305982824208
1,38,-.2735531460919052,39.22140224359386
1,39,-.1624341985166124,43.54819709531663
1,40,-.0530746631407618,47.88362094382475
1,41,.054027009882809,52.15431775557202
1,42,.1577360752353072,56.26676137988322
