months,hr,hrz,hrp
0,30,,
0,31,,
0,32,,
0,33,,
0,34,,
0,35,,
0,36,,
0,37,,
0,38,,
0,39,-8.292361075813595,5.55111512313e-15
0,40,-8.209536151601386,1.11022302463e-14
0,41,-8.098784204354301,2.77555756156e-14
0,42,-7.964023615122308,8.32667268469e-14
0,43,-7.835684964021932,2.33146835171e-13
0,44,-7.710368256390832,6.27276008913e-13
0,45,-7.586514332534523,1.64313007645e-12
0,46,-7.464701325226105,4.17443857259e-12
0,47,-7.344950443441643,1.02917674383e-11
0,48,-7.226987041542009,2.46913600677e-11
0,49,-7.110731046470279,5.77149439351e-11
0,50,-6.996157147647224,1.31539223958e-10
0,51,-6.883209794598145,2.92593727025e-10
0,52,-6.771830895442763,6.35813623973e-10
0,53,-6.661964916147355,1.35095268305e-09
0,54,-6.553563116370634,2.80900858129e-09
0,55,-6.446577761800451,5.72019653866e-09
0,56,-6.340963991226685,1.14165954468e-08
0,57,-6.236678383839999,2.23479790229e-08
0,58,-6.133680066820498,4.29345614616e-08
0,59,-6.031929890658614,8.10065348134e-08
0,60,-5.931390563019258,1.50189871650e-07
0,61,-5.832026430603728,2.73791211924e-07
0,62,-5.733803425111053,4.91015705872e-07
0,63,-5.636688963050576,8.66754007456e-07
0,64,-5.540651842240649,1.50673906130e-06
0,65,-5.445662173553447,2.58065067094e-06
0,66,-5.351691302241956,4.35679770039e-06
0,67,-5.258711735379511,7.25340432162e-06
0,68,-5.166697079335155,.0000119133475474
0,69,-5.075621977134774,.000019311524474
0,70,-4.985462052962219,.0000309069554727
0,71,-4.896193858616639,.0000488553388633
0,72,-4.807794824486241,.0000763021333228
0,73,-4.720243213197381,.0001177814074216
0,74,-4.633518076450572,.0001797516761159
0,75,-4.547599214502579,.0002713067121407
0,76,-4.462467138145695,.0004051067847455
0,77,-4.378103033066858,.0005985837745026
0,78,-4.294488726303973,.0008754818908052
0,79,-4.211606654718381,.0012678039314595
0,80,-4.129439835300633,.001818240725493
0,81,-4.047971837197477,.002583168043363
0,82,-3.967186755318935,.0036363002038686
0,83,-3.887069185426888,.0050730921363151
0,84,-3.807604200595383,.0070159809999359
0,85,-3.728777328949892,.0096205538293481
0,86,-3.650574532597898,.0130827182963145
0,87,-3.572982187670007,.0176469388559974
0,88,-3.495987065397993,.0236155797066261
0,89,-3.419576314160604,.0313593687431668
0,90,-3.343737442434273,.0413289628735493
0,91,-3.268458302590908,.054067554825088
0,92,-3.193727075488773,.0702244153663491
0,93,-3.119532255806669,.0905692135365621
0,94,-3.045862638076787,.1160069022194399
0,95,-2.972707303373561,.1475928988052995
0,96,-2.900055606620613,.1865482326859236
0,97,-2.827897164480929,.2342742751553611
0,98,-2.756221843798226,.2923666154129928
0,99,-2.685019750561191,.3626276013906364
0,100,-2.614281219364856,.4470770286985402
0,101,-2.54399680334682,.5479604376649919
0,102,-2.474157264579017,.6677544695808626
0,103,-2.404753564898798,.809168740863538
0,104,-2.33577685716685,.9751437194718398
0,105,-2.267218476942618,1.168844132513832
0,106,-2.199069934572196,1.393647497906244
0,107,-2.131322907687591,1.653127455759463
0,108,-2.063969234121237,1.95103167570063
0,109,-1.997000905244907,2.291254232674578
0,110,-1.930410059748333,2.677802473209822
0,111,-1.864188977879998,3.114758533373089
0,112,-1.798330076180724,3.606235814768545
0,113,-1.732825902750524,4.156330871635793
0,114,-1.667669133100738,4.769071305756563
0,115,-1.602852566657147,5.448360401772245
0,116,-1.538369123996481,6.197919358986925
0,117,-1.474211844918708,7.02122808237956
0,118,-1.41037388748187,7.921465581386551
0,119,-1.346848528156244,8.901451086631292
0,120,-1.283629163291221,9.963587029481246
0,121,-1.220709312134218,11.10980503521625
0,122,-1.158082621697719,12.34151605672281
0,123,-1.095742873842597,13.6595657219076
0,124,-1.033683995036735,15.06419588531882
0,125,-.9719000693648303,16.55501326448447
0,126,-.9103853555161956,18.13096590672524
0,127,-.8491343086751145,19.79032807580445
0,128,-.7881416085007619,21.530693973314
0,129,-.7274021947374708,23.3489805209357
0,130,-.6669113124816303,25.24143923028618
0,131,-.6066645698121338,27.20367697994169
0,132,-.5466580114696523,29.23068530604876
0,133,-.486888213719052,31.31687759258461
0,134,-.4273524077541684,33.45613331365921
0,135,-.3680486425755155,35.64184821687184
0,136,-.3089760043283016,37.8669890055385
0,137,-.2501349201088275,40.12415058926616
0,138,-.1915275962487342,42.4056131016121
0,139,-.1331586910477852,44.70339398076685
0,140,-.0750364599080045,47.00928514195571
0,141,-.0171751591998679,49.31484396767055
0,142,.0403958732286473,51.61112398739618
0,143,.0976359067300069,53.88892943694459
0,144,.1545256612100721,56.14023602544237
0,145,.2110561656533106,58.35782777693034
0,146,.2672233470583634,60.53513993953219
0,147,.3230261333430995,62.66622747119573
0,148,.3784654400087506,64.74575686577104
0,149,.433543547793857,66.76900318185264
0,150,.4882636908942684,68.7318461844382
0,151,.5426297717680052,70.63076318326056
0,152,.5966461575727987,72.46281763236398
0,153,.6503175318441311,74.22564326187558
0,154,.7036487848713106,75.91742388879223
0,155,.7566449318907276,77.53686926668635
0,156,.8093110516718209,79.08318745708014
0,157,.8616522402828386,80.5560542728871
0,158,.9136735762922789,81.95558037542582
0,159,.9653800946671138,83.28227661197816
0,160,1.016776767333762,84.53701816767362
0,161,1.067868488872667,85.72100807852337
0,162,1.118660066184773,86.8357406153311
0,163,1.169156211239469,87.88296500386826
0,164,1.21936153621701,88.86464989749821
0,165,1.269280550511444,89.78294896631654
0,166,1.318917659177486,90.64016791354609
0,167,1.368277162494506,91.43873317675319
